instance 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
j301_1 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 4.88 
j301_1 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 8.45 
j301_1 	 7 	 2 	 65.00 	 65.00 	 0.0000 	 10.83 
j301_2 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 1.90 
j301_2 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 4.66 
j301_2 	 7 	 2 	 71.00 	 71.00 	 0.0000 	 18.22 
j301_3 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 1.33 
j301_3 	 5 	 2 	 66.00 	 66.00 	 0.0000 	 3.54 
j301_3 	 7 	 2 	 69.00 	 69.00 	 0.0000 	 8.89 
j301_4 	 3 	 2 	 77.00 	 77.00 	 0.0000 	 6.21 
j301_4 	 5 	 2 	 87.00 	 87.00 	 0.0000 	 11.25 
j301_4 	 7 	 2 	 95.00 	 95.00 	 0.0000 	 10.53 
j301_5 	 3 	 2 	 50.00 	 50.00 	 0.0000 	 5.08 
j301_5 	 5 	 2 	 55.00 	 55.00 	 0.0000 	 20.24 
j301_5 	 7 	 2 	 58.00 	 58.00 	 0.0000 	 14.79 
j301_6 	 3 	 2 	 63.00 	 63.00 	 0.0000 	 3.45 
j301_6 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 16.61 
j301_6 	 7 	 2 	 74.00 	 74.00 	 0.0000 	 13.52 
j301_7 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 0.63 
j301_7 	 5 	 2 	 81.00 	 81.00 	 0.0000 	 1.52 
j301_7 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 1.91 
j301_8 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 1.56 
j301_8 	 5 	 2 	 75.00 	 75.00 	 0.0000 	 2.06 
j301_8 	 7 	 2 	 80.00 	 80.00 	 0.0000 	 3.34 
j301_9 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 3.36 
j301_9 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 5.86 
j301_9 	 7 	 2 	 73.00 	 73.00 	 0.0000 	 10.07 
j301_10 	 3 	 2 	 59.00 	 59.00 	 0.0000 	 1.79 
j301_10 	 5 	 2 	 65.00 	 65.00 	 0.0000 	 2.63 
j301_10 	 7 	 2 	 69.00 	 69.00 	 0.0000 	 9.65 
j302_1 	 3 	 2 	 50.00 	 50.00 	 0.0000 	 1.19 
j302_1 	 5 	 2 	 56.00 	 56.00 	 0.0000 	 2.02 
j302_1 	 7 	 2 	 59.00 	 59.00 	 0.0000 	 3.83 
j302_2 	 3 	 2 	 66.00 	 66.00 	 0.0000 	 1.09 
j302_2 	 5 	 2 	 75.00 	 75.00 	 0.0000 	 1.81 
j302_2 	 7 	 2 	 78.00 	 78.00 	 0.0000 	 3.00 
j302_3 	 3 	 2 	 58.00 	 58.00 	 0.0000 	 0.69 
j302_3 	 5 	 2 	 63.00 	 63.00 	 0.0000 	 1.32 
j302_3 	 7 	 2 	 65.00 	 65.00 	 0.0000 	 1.91 
j302_4 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 0.77 
j302_4 	 5 	 2 	 63.00 	 63.00 	 0.0000 	 1.11 
j302_4 	 7 	 2 	 67.00 	 67.00 	 0.0000 	 1.57 
j302_5 	 3 	 2 	 66.00 	 66.00 	 0.0000 	 0.80 
j302_5 	 5 	 2 	 74.00 	 74.00 	 0.0000 	 1.00 
j302_5 	 7 	 2 	 78.00 	 78.00 	 0.0000 	 1.36 
j302_6 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 0.75 
j302_6 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 1.11 
j302_6 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 2.20 
j302_7 	 3 	 2 	 59.00 	 59.00 	 0.0000 	 0.26 
j302_7 	 5 	 2 	 66.00 	 66.00 	 0.0000 	 1.06 
j302_7 	 7 	 2 	 71.00 	 71.00 	 0.0000 	 1.38 
j302_8 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 3.29 
j302_8 	 5 	 2 	 74.00 	 74.00 	 0.0000 	 15.19 
j302_8 	 7 	 2 	 79.00 	 79.00 	 0.0000 	 13.46 
j302_9 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 2.52 
j302_9 	 5 	 2 	 76.00 	 76.00 	 0.0000 	 3.81 
j302_9 	 7 	 2 	 82.00 	 82.00 	 0.0000 	 4.35 
j302_10 	 3 	 2 	 58.00 	 58.00 	 0.0000 	 1.42 
j302_10 	 5 	 2 	 65.00 	 65.00 	 0.0000 	 1.60 
j302_10 	 7 	 2 	 66.00 	 66.00 	 0.0000 	 4.66 
j303_1 	 3 	 2 	 87.00 	 87.00 	 0.0000 	 0.60 
j303_1 	 5 	 2 	 96.00 	 96.00 	 0.0000 	 0.42 
j303_1 	 7 	 2 	 104.00 	 104.00 	 0.0000 	 1.24 
j303_2 	 3 	 2 	 53.00 	 53.00 	 0.0000 	 0.90 
j303_2 	 5 	 2 	 60.00 	 60.00 	 0.0000 	 1.40 
j303_2 	 7 	 2 	 62.00 	 62.00 	 0.0000 	 3.29 
j303_3 	 3 	 2 	 72.00 	 72.00 	 0.0000 	 0.25 
j303_3 	 5 	 2 	 80.00 	 80.00 	 0.0000 	 0.40 
j303_3 	 7 	 2 	 85.00 	 85.00 	 0.0000 	 1.12 
j303_4 	 3 	 2 	 113.00 	 113.00 	 0.0000 	 0.73 
j303_4 	 5 	 2 	 123.00 	 123.00 	 0.0000 	 0.41 
j303_4 	 7 	 2 	 132.00 	 132.00 	 0.0000 	 1.59 
j303_5 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 1.15 
j303_5 	 5 	 2 	 77.00 	 77.00 	 0.0000 	 1.53 
j303_5 	 7 	 2 	 81.00 	 81.00 	 0.0000 	 2.20 
j303_6 	 3 	 2 	 69.00 	 69.00 	 0.0000 	 0.58 
j303_6 	 5 	 2 	 77.00 	 77.00 	 0.0000 	 1.10 
j303_6 	 7 	 2 	 80.00 	 80.00 	 0.0000 	 0.65 
j303_7 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 0.59 
j303_7 	 5 	 2 	 69.00 	 69.00 	 0.0000 	 0.79 
j303_7 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 1.14 
j303_8 	 3 	 2 	 69.00 	 69.00 	 0.0000 	 0.26 
j303_8 	 5 	 2 	 76.00 	 76.00 	 0.0000 	 0.38 
j303_8 	 7 	 2 	 81.00 	 81.00 	 0.0000 	 0.64 
j303_9 	 3 	 2 	 80.00 	 80.00 	 0.0000 	 1.21 
j303_9 	 5 	 2 	 89.00 	 89.00 	 0.0000 	 1.96 
j303_9 	 7 	 2 	 96.00 	 96.00 	 0.0000 	 3.35 
j303_10 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 0.72 
j303_10 	 5 	 2 	 81.00 	 81.00 	 0.0000 	 1.20 
j303_10 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 1.58 
j304_1 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 0.24 
j304_1 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 0.37 
j304_1 	 7 	 2 	 75.00 	 75.00 	 0.0000 	 0.54 
j304_2 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 0.51 
j304_2 	 5 	 2 	 80.00 	 80.00 	 0.0000 	 0.70 
j304_2 	 7 	 2 	 86.00 	 86.00 	 0.0000 	 1.27 
j304_3 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 0.58 
j304_3 	 5 	 2 	 67.00 	 67.00 	 0.0000 	 0.93 
j304_3 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 0.59 
j304_4 	 3 	 2 	 72.00 	 72.00 	 0.0000 	 0.27 
j304_4 	 5 	 2 	 80.00 	 80.00 	 0.0000 	 0.39 
j304_4 	 7 	 2 	 85.00 	 85.00 	 0.0000 	 1.03 
j304_5 	 3 	 2 	 74.00 	 74.00 	 0.0000 	 0.95 
j304_5 	 5 	 2 	 83.00 	 83.00 	 0.0000 	 1.07 
j304_5 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 1.59 
j304_6 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 0.57 
j304_6 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 0.46 
j304_6 	 7 	 2 	 69.00 	 69.00 	 0.0000 	 1.22 
j304_7 	 3 	 2 	 69.00 	 69.00 	 0.0000 	 0.47 
j304_7 	 5 	 2 	 76.00 	 76.00 	 0.0000 	 0.81 
j304_7 	 7 	 2 	 82.00 	 82.00 	 0.0000 	 1.07 
