instance 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
j301_1 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 8.77 
j301_1 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 10.59 
j301_1 	 7 	 2 	 65.00 	 65.00 	 0.0000 	 11.74 
j301_2 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 6.90 
j301_2 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 12.36 
j301_2 	 7 	 2 	 71.00 	 71.00 	 0.0000 	 10.78 
j301_3 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 2.78 
j301_3 	 5 	 2 	 66.00 	 66.00 	 0.0000 	 2.61 
j301_3 	 7 	 2 	 69.00 	 69.00 	 0.0000 	 4.00 
j301_4 	 3 	 2 	 77.00 	 77.00 	 0.0000 	 6.68 
j301_4 	 5 	 2 	 87.00 	 87.00 	 0.0000 	 13.86 
j301_4 	 7 	 2 	 95.00 	 95.00 	 0.0000 	 22.93 
j301_5 	 3 	 2 	 50.00 	 50.00 	 0.0000 	 37.30 
j301_5 	 5 	 2 	 55.00 	 55.00 	 0.0000 	 53.40 
j301_5 	 7 	 2 	 58.00 	 58.00 	 0.0000 	 76.76 
j301_6 	 3 	 2 	 63.00 	 63.00 	 0.0000 	 4.46 
j301_6 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 5.59 
j301_6 	 7 	 2 	 74.00 	 74.00 	 0.0000 	 15.11 
j301_7 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 2.07 
j301_7 	 5 	 2 	 81.00 	 81.00 	 0.0000 	 3.02 
j301_7 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 3.24 
j301_8 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 5.43 
j301_8 	 5 	 2 	 75.00 	 75.00 	 0.0000 	 4.05 
j301_8 	 7 	 2 	 80.00 	 80.00 	 0.0000 	 15.17 
j301_9 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 11.76 
j301_9 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 25.35 
j301_9 	 7 	 2 	 73.00 	 73.00 	 0.0000 	 40.77 
j301_10 	 3 	 2 	 59.00 	 59.00 	 0.0000 	 5.65 
j301_10 	 5 	 2 	 65.00 	 65.00 	 0.0000 	 8.37 
j301_10 	 7 	 2 	 69.00 	 69.00 	 0.0000 	 12.07 
j302_1 	 3 	 2 	 50.00 	 50.00 	 0.0000 	 2.82 
j302_1 	 5 	 2 	 56.00 	 56.00 	 0.0000 	 6.59 
j302_1 	 7 	 2 	 59.00 	 59.00 	 0.0000 	 3.16 
j302_2 	 3 	 2 	 66.00 	 66.00 	 0.0000 	 2.45 
j302_2 	 5 	 2 	 75.00 	 75.00 	 0.0000 	 1.92 
j302_2 	 7 	 2 	 78.00 	 78.00 	 0.0000 	 3.63 
j302_3 	 3 	 2 	 58.00 	 58.00 	 0.0000 	 1.87 
j302_3 	 5 	 2 	 63.00 	 63.00 	 0.0000 	 1.96 
j302_3 	 7 	 2 	 65.00 	 65.00 	 0.0000 	 3.61 
j302_4 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 1.20 
j302_4 	 5 	 2 	 63.00 	 63.00 	 0.0000 	 1.50 
j302_4 	 7 	 2 	 67.00 	 67.00 	 0.0000 	 1.98 
j302_5 	 3 	 2 	 66.00 	 66.00 	 0.0000 	 1.31 
j302_5 	 5 	 2 	 74.00 	 74.00 	 0.0000 	 1.51 
j302_5 	 7 	 2 	 78.00 	 78.00 	 0.0000 	 1.80 
