instance 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
j301_1 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 1.99 
j301_1 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 3.83 
j301_1 	 7 	 2 	 65.00 	 65.00 	 0.0000 	 6.44 
j301_2 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 1.20 
j301_2 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 3.03 
j301_2 	 7 	 2 	 71.00 	 71.00 	 0.0000 	 4.87 
j301_3 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 0.72 
j301_3 	 5 	 2 	 66.00 	 66.00 	 0.0000 	 1.38 
j301_3 	 7 	 2 	 69.00 	 69.00 	 0.0000 	 1.59 
j301_4 	 3 	 2 	 77.00 	 77.00 	 0.0000 	 4.18 
j301_4 	 5 	 2 	 87.00 	 87.00 	 0.0000 	 4.72 
j301_4 	 7 	 2 	 95.00 	 95.00 	 0.0000 	 6.07 
j301_5 	 3 	 2 	 50.00 	 50.00 	 0.0000 	 4.53 
j301_5 	 5 	 2 	 55.00 	 55.00 	 0.0000 	 9.96 
j301_5 	 7 	 2 	 58.00 	 58.00 	 0.0000 	 14.73 
j301_6 	 3 	 2 	 63.00 	 63.00 	 0.0000 	 1.55 
j301_6 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 6.49 
j301_6 	 7 	 2 	 74.00 	 74.00 	 0.0000 	 10.56 
j301_7 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 0.35 
j301_7 	 5 	 2 	 81.00 	 81.00 	 0.0000 	 0.66 
j301_7 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 0.90 
j301_8 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 0.37 
j301_8 	 5 	 2 	 75.00 	 75.00 	 0.0000 	 1.22 
j301_8 	 7 	 2 	 80.00 	 80.00 	 0.0000 	 1.02 
j301_9 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 4.28 
j301_9 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 10.31 
j301_9 	 7 	 2 	 73.00 	 73.00 	 0.0000 	 21.62 
j301_10 	 3 	 2 	 59.00 	 59.00 	 0.0000 	 0.62 
j301_10 	 5 	 2 	 65.00 	 65.00 	 0.0000 	 2.80 
j301_10 	 7 	 2 	 69.00 	 69.00 	 0.0000 	 3.00 
j302_1 	 3 	 2 	 50.00 	 50.00 	 0.0000 	 0.81 
j302_1 	 5 	 2 	 56.00 	 56.00 	 0.0000 	 1.57 
j302_1 	 7 	 2 	 59.00 	 59.00 	 0.0000 	 2.45 
j302_2 	 3 	 2 	 66.00 	 66.00 	 0.0000 	 0.66 
j302_2 	 5 	 2 	 75.00 	 75.00 	 0.0000 	 1.05 
j302_2 	 7 	 2 	 78.00 	 78.00 	 0.0000 	 1.90 
j302_3 	 3 	 2 	 58.00 	 58.00 	 0.0000 	 0.39 
