instance 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
j301_1 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 6.05 
j301_1 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 16.68 
j301_1 	 7 	 2 	 65.00 	 65.00 	 0.0000 	 20.45 
j301_2 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 13.04 
j301_2 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 18.31 
j301_2 	 7 	 2 	 71.00 	 71.00 	 0.0000 	 20.10 
j301_3 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 2.28 
j301_3 	 5 	 2 	 66.00 	 66.00 	 0.0000 	 4.45 
j301_3 	 7 	 2 	 69.00 	 69.00 	 0.0000 	 3.73 
j301_4 	 3 	 2 	 77.00 	 77.00 	 0.0000 	 19.72 
j301_4 	 5 	 2 	 87.00 	 87.00 	 0.0000 	 19.89 
j301_4 	 7 	 2 	 95.00 	 95.00 	 0.0000 	 20.84 
j301_5 	 3 	 2 	 50.00 	 50.00 	 0.0000 	 54.19 
j301_5 	 5 	 2 	 55.00 	 55.00 	 0.0000 	 91.74 
j301_5 	 7 	 2 	 58.00 	 58.00 	 0.0000 	 87.55 
j301_6 	 3 	 2 	 63.00 	 63.00 	 0.0000 	 6.49 
j301_6 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 13.00 
j301_6 	 7 	 2 	 74.00 	 74.00 	 0.0000 	 23.03 
j301_7 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 1.08 
j301_7 	 5 	 2 	 81.00 	 81.00 	 0.0000 	 1.30 
j301_7 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 1.41 
j301_8 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 1.95 
j301_8 	 5 	 2 	 75.00 	 75.00 	 0.0000 	 2.00 
j301_8 	 7 	 2 	 80.00 	 80.00 	 0.0000 	 2.43 
j301_9 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 26.30 
j301_9 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 37.22 
j301_9 	 7 	 2 	 73.00 	 73.00 	 0.0000 	 53.28 
j301_10 	 3 	 2 	 59.00 	 59.00 	 0.0000 	 4.41 
j301_10 	 5 	 2 	 65.00 	 65.00 	 0.0000 	 5.07 
j301_10 	 7 	 2 	 69.00 	 69.00 	 0.0000 	 12.58 
j302_1 	 3 	 2 	 50.00 	 50.00 	 0.0000 	 3.38 
j302_1 	 5 	 2 	 56.00 	 56.00 	 0.0000 	 7.67 
j302_1 	 7 	 2 	 59.00 	 59.00 	 0.0000 	 6.59 
j302_2 	 3 	 2 	 66.00 	 66.00 	 0.0000 	 3.60 
j302_2 	 5 	 2 	 75.00 	 75.00 	 0.0000 	 4.90 
j302_2 	 7 	 2 	 78.00 	 78.00 	 0.0000 	 5.15 
j302_3 	 3 	 2 	 58.00 	 58.00 	 0.0000 	 1.05 
j302_3 	 5 	 2 	 63.00 	 63.00 	 0.0000 	 2.02 
j302_3 	 7 	 2 	 65.00 	 65.00 	 0.0000 	 2.16 
j302_4 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 1.71 
j302_4 	 5 	 2 	 63.00 	 63.00 	 0.0000 	 2.01 
j302_4 	 7 	 2 	 67.00 	 67.00 	 0.0000 	 2.53 
j302_5 	 3 	 2 	 66.00 	 66.00 	 0.0000 	 1.21 
j302_5 	 5 	 2 	 74.00 	 74.00 	 0.0000 	 1.59 
j302_5 	 7 	 2 	 78.00 	 78.00 	 0.0000 	 2.11 
j302_6 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 1.51 
j302_6 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 1.82 
j302_6 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 2.53 
j302_7 	 3 	 2 	 59.00 	 59.00 	 0.0000 	 1.51 
j302_7 	 5 	 2 	 66.00 	 66.00 	 0.0000 	 2.05 
j302_7 	 7 	 2 	 71.00 	 71.00 	 0.0000 	 2.71 
j302_8 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 32.85 
j302_8 	 5 	 2 	 74.00 	 74.00 	 0.0000 	 30.11 
j302_8 	 7 	 2 	 79.00 	 79.00 	 0.0000 	 41.53 
j302_9 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 4.05 
j302_9 	 5 	 2 	 76.00 	 76.00 	 0.0000 	 5.70 
j302_9 	 7 	 2 	 82.00 	 82.00 	 0.0000 	 7.11 
j302_10 	 3 	 2 	 58.00 	 58.00 	 0.0000 	 2.15 
j302_10 	 5 	 2 	 65.00 	 65.00 	 0.0000 	 5.41 
j302_10 	 7 	 2 	 66.00 	 66.00 	 0.0000 	 8.38 
j303_1 	 3 	 2 	 87.00 	 87.00 	 0.0000 	 0.87 
j303_1 	 5 	 2 	 96.00 	 96.00 	 0.0000 	 1.39 
j303_1 	 7 	 2 	 104.00 	 104.00 	 0.0000 	 1.80 
j303_2 	 3 	 2 	 53.00 	 53.00 	 0.0000 	 2.52 
j303_2 	 5 	 2 	 60.00 	 60.00 	 0.0000 	 3.80 
j303_2 	 7 	 2 	 62.00 	 62.00 	 0.0000 	 3.66 
j303_3 	 3 	 2 	 72.00 	 72.00 	 0.0000 	 1.33 
j303_3 	 5 	 2 	 80.00 	 80.00 	 0.0000 	 1.67 
j303_3 	 7 	 2 	 85.00 	 85.00 	 0.0000 	 2.06 
j303_4 	 3 	 2 	 113.00 	 113.00 	 0.0000 	 1.01 
j303_4 	 5 	 2 	 123.00 	 123.00 	 0.0000 	 1.51 
j303_4 	 7 	 2 	 132.00 	 132.00 	 0.0000 	 1.85 
j303_5 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 2.15 
j303_5 	 5 	 2 	 77.00 	 77.00 	 0.0000 	 2.94 
j303_5 	 7 	 2 	 81.00 	 81.00 	 0.0000 	 3.21 
j303_6 	 3 	 2 	 69.00 	 69.00 	 0.0000 	 1.42 
j303_6 	 5 	 2 	 77.00 	 77.00 	 0.0000 	 1.65 
j303_6 	 7 	 2 	 80.00 	 80.00 	 0.0000 	 3.23 
j303_7 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 1.56 
j303_7 	 5 	 2 	 69.00 	 69.00 	 0.0000 	 2.28 
j303_7 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 2.24 
j303_8 	 3 	 2 	 69.00 	 69.00 	 0.0000 	 1.44 
j303_8 	 5 	 2 	 76.00 	 76.00 	 0.0000 	 1.71 
j303_8 	 7 	 2 	 81.00 	 81.00 	 0.0000 	 1.95 
j303_9 	 3 	 2 	 80.00 	 80.00 	 0.0000 	 3.49 
j303_9 	 5 	 2 	 89.00 	 89.00 	 0.0000 	 3.97 
j303_9 	 7 	 2 	 96.00 	 96.00 	 0.0000 	 7.54 
j303_10 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 1.86 
